material_code,description,category,unit,pack_size,manufacturer,part_number,conduit_diameter,pull_count,standard_cost,active,notes
J-8051,"Bolt, Thimble eye 5/8"" X 10""",Aerial Hardware,EA,,,J-8051,,,,yes,
J-8052,"Bolt, Thimble eye 5/8"" X 12""",Aerial Hardware,EA,,,J-8052,,,,yes,
J-8053,"Bolt, Thimble eye 5/8"" X 14""",Aerial Hardware,EA,,,J-8053,,,,yes,
J-8810,"Bolt, Machine 5/8"" X 10""",Aerial Hardware,EA,,,J-8810,,,,yes,
J-8812,"Bolt, Machine 5/8"" X 12""",Aerial Hardware,EA,,,J-8812,,,,yes,
J-8814,"Bolt, Machine 5/8"" X 14""",Aerial Hardware,EA,,,J-8814,,,,yes,
J-9412,"Bolt, Eye 5/8"" X 12""",Aerial Hardware,EA,,,J-9412,,,,yes,
J-9414,"Bolt, Eye 5/8"" X 14""",Aerial Hardware,EA,,,J-9414,,,,yes,
J25164,"Spring washer, Guy attach strap pig ears",Aerial Hardware,EA,,,J25164,,,,yes,
LGSBS8-50,"SPLICE BLOCK KIT, YELLOW 50PK",Splice,EA,50,,LGSBS8-50,,,,yes,
MXE86383GR500,"MAXCELL 4"" 3 CELL",Conduit,FT,,,MXE86383GR500,,,,yes,
PEAD26V,"U-Guard adapter 2""-5"" Boot",Aerial Hardware,EA,,,PEAD26V,,,,yes,
PGU210,"Plastic 2"", Riser Guard, 10'",Aerial Hardware,EA,,,PGU210,,,,yes,
R-GB4-576-C1M-,576 FIELDSMART FDH PON SPLITTER CABINET,Pedestal-Cabinet,EA,,,R-GB4-576-C1M-,,,,yes,
RM-OC-101512,10X15X12 PEDESTRIAN DROP VAULT,Vault-Handhole,EA,,,RM-OC-101512,,,,yes,
RM-OC-173024T22,17X30X24 T-22 DURALITE VAULT,Vault-Handhole,EA,,,RM-OC-173024T22,,,,yes,
RM-OC-243636T22,24X36X36 T-22 DURALITE VAULT,Vault-Handhole,EA,,,RM-OC-243636T22,,,,yes,
RM-OC-304836T22,30X48X36 T-22 DURALITE VAULT,Vault-Handhole,EA,,,RM-OC-304836T22,,,,yes,
SPS40,Heat shrink sleeve 40mm,Splice,EA,,,SPS40,,,,yes,
WCUTHHN10SOLGN,#10 Ground Wire,Grounding,FT,,,WCUTHHN10SOLGN,,,,yes,
